Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
MRPL1,NA/N,NA/N,NA/N,NA/N
ERAL1,NA/N,NA/N,NA/N,NA/N
NDUFS2,NA/N,NA/N,NA/N,NA/N
NDUFAF3,NA/N,NA/N,NA/N,NA/N
DBT,NA/N,NA/N,NA/N,NA/N
TMEM126B,NA/N,NA/N,NA/N,NA/N
NDUFAF1,NA/N,NA/N,NA/N,NA/N
PDSS1,NA/N,NA/N,NA/N,NA/N
EVPL,NA/N,NA/N,NA/N,NA/N
TUBB1,NA/N,NA/N,NA/N,NA/N
GLS,NA/N,NA/N,NA/N,NA/N
COA1,NA/N,NA/N,NA/N,NA/N
PDSS2,NA/N,NA/N,NA/N,NA/N
IVL,NA/N,NA/N,NA/N,NA/N
NDUFC2,NA/N,NA/N,NA/N,NA/N
PDK3,NA/N,NA/N,NA/N,NA/N
PDK1,NA/N,NA/N,NA/N,NA/N
PDK2,NA/N,NA/N,NA/N,NA/N
SERPINB5,NA/N,NA/N,NA/N,NA/N
SERPINB13,NA/N,NA/N,NA/N,NA/N
PPL,NA/N,NA/N,NA/N,NA/N
SDHA,NA/N,NA/N,NA/N,NA/N
SERPINB3,NA/N,NA/N,NA/N,NA/N
SERPINB4,NA/N,NA/N,NA/N,NA/N
NFS1,NA/N,NA/N,NA/N,NA/N
ZG16B,NA/N,NA/N,NA/N,NA/N
PNPT1,NA/N,NA/N,NA/N,NA/N
BPIFA2,NA/N,NA/N,NA/N,NA/N
POF1B,NA/N,NA/N,NA/N,NA/N
ACADL,NA/N,NA/N,NA/N,NA/N
SYT2,NA/N,NA/N,NA/N,NA/N
ACADS,NA/N,NA/N,NA/N,NA/N
DPEP1,NA/N,NA/N,NA/N,NA/N
ACADVL,NA/N,NA/N,NA/N,NA/N
DHRS4,NA/N,NA/N,NA/N,NA/N
APC,NA/N,NA/N,NA/N,NA/N
ACAN,NA/N,NA/N,NA/N,NA/N
FBLN2,NA/N,NA/N,NA/N,NA/N
ACAP1,NA/N,NA/N,NA/N,NA/N
ACAT1,NA/N,NA/N,NA/N,NA/N
PDHA1,NA/N,NA/N,NA/N,NA/N
MDH2,NA/N,NA/N,NA/N,NA/N
ACAT2,NA/N,NA/N,NA/N,NA/N
ACBD3,NA/N,NA/N,NA/N,NA/N
GOLGB1,NA/N,NA/N,NA/N,NA/N
ACBD6,NA/N,NA/N,NA/N,NA/N
NMT2,NA/N,NA/N,NA/N,NA/N
ACBD7,NA/N,NA/N,NA/N,NA/N
SUGP1,NA/N,NA/N,NA/N,NA/N
TBC1D24,NA/N,NA/N,NA/N,NA/N
ACOX1,NA/N,NA/N,NA/N,NA/N
GNAZ,NA/N,NA/N,NA/N,NA/N
HPCAL1,NA/N,NA/N,NA/N,NA/N
SRC,NA/N,NA/N,NA/N,NA/N
PAG1,NA/N,NA/N,NA/N,NA/N
OGDHL,NA/N,NA/N,NA/N,NA/N
ACD,NA/N,NA/N,NA/N,NA/N
POT1,NA/N,NA/N,NA/N,NA/N
TERF1,NA/N,NA/N,NA/N,NA/N
TERF2,NA/N,NA/N,NA/N,NA/N
TERF2IP,NA/N,NA/N,NA/N,NA/N
ACE,NA/N,NA/N,NA/N,NA/N
AGT,NA/N,NA/N,NA/N,NA/N
NTS,NA/N,NA/N,NA/N,NA/N
SLC9A3R1,NA/N,NA/N,NA/N,NA/N
KNG1,NA/N,NA/N,NA/N,NA/N
PDZK1,NA/N,NA/N,NA/N,NA/N
SLC6A19,NA/N,NA/N,NA/N,NA/N
SHANK1,NA/N,NA/N,NA/N,NA/N
AP2M1,NA/N,NA/N,NA/N,NA/N
SNX27,NA/N,NA/N,NA/N,NA/N
ACIN1,NA/N,NA/N,NA/N,NA/N
SRPK2,NA/N,NA/N,NA/N,NA/N
ZC3H18,NA/N,NA/N,NA/N,NA/N
SRRM2,NA/N,NA/N,NA/N,NA/N
ACKR2,NA/N,NA/N,NA/N,NA/N
CCL5,NA/N,NA/N,NA/N,NA/N
CCL13,NA/N,NA/N,NA/N,NA/N
CCL7,NA/N,NA/N,NA/N,NA/N
ACKR3,NA/N,NA/N,NA/N,NA/N
ATP5F1A,NA/N,NA/N,NA/N,NA/N
ACLY,NA/N,NA/N,NA/N,NA/N
GSK3B,NA/N,NA/N,NA/N,NA/N
KLHL25,NA/N,NA/N,NA/N,NA/N
ACO2,NA/N,NA/N,NA/N,NA/N
GPI,NA/N,NA/N,NA/N,NA/N
ACOT11,NA/N,NA/N,NA/N,NA/N
THUMPD3,NA/N,NA/N,NA/N,NA/N
ACOT12,NA/N,NA/N,NA/N,NA/N
INPPL1,NA/N,NA/N,NA/N,NA/N
ZMYM6,NA/N,NA/N,NA/N,NA/N
ZBTB8A,NA/N,NA/N,NA/N,NA/N
ACOT13,NA/N,NA/N,NA/N,NA/N
ACOT2,NA/N,NA/N,NA/N,NA/N
ACOT1,NA/N,NA/N,NA/N,NA/N
SPATA33,NA/N,NA/N,NA/N,NA/N
ACOT6,NA/N,NA/N,NA/N,NA/N
ATP6V1G2,NA/N,NA/N,NA/N,NA/N
ACOT8,NA/N,NA/N,NA/N,NA/N
IGHA1,NA/N,NA/N,NA/N,NA/N
PML,NA/N,NA/N,NA/N,NA/N
KLHL23,NA/N,NA/N,NA/N,NA/N
ACOX2,NA/N,NA/N,NA/N,NA/N
STRN3,NA/N,NA/N,NA/N,NA/N
ACOX3,NA/N,NA/N,NA/N,NA/N
HERC3,NA/N,NA/N,NA/N,NA/N
CENPH,NA/N,NA/N,NA/N,NA/N
YTHDF1,NA/N,NA/N,NA/N,NA/N
ACP1,NA/N,NA/N,NA/N,NA/N
EPHA2,NA/N,NA/N,NA/N,NA/N
ZAP70,NA/N,NA/N,NA/N,NA/N
EPHB1,NA/N,NA/N,NA/N,NA/N
ACTBL2,NA/N,NA/N,NA/N,NA/N
POTEE,NA/N,NA/N,NA/N,NA/N
ACP5,NA/N,NA/N,NA/N,NA/N
CIZ1,NA/N,NA/N,NA/N,NA/N
KLHL15,NA/N,NA/N,NA/N,NA/N
ACP6,NA/N,NA/N,NA/N,NA/N
ILK,NA/N,NA/N,NA/N,NA/N
ACP7,NA/N,NA/N,NA/N,NA/N
MYCBP2,NA/N,NA/N,NA/N,NA/N
ACPP,NA/N,NA/N,NA/N,NA/N
ACR,NA/N,NA/N,NA/N,NA/N
ZP2,NA/N,NA/N,NA/N,NA/N
ZP3,NA/N,NA/N,NA/N,NA/N
ACSBG2,NA/N,NA/N,NA/N,NA/N
CMSS1,NA/N,NA/N,NA/N,NA/N
ZZEF1,NA/N,NA/N,NA/N,NA/N
ACSL3,NA/N,NA/N,NA/N,NA/N
ACSL4,NA/N,NA/N,NA/N,NA/N
ACSL6,NA/N,NA/N,NA/N,NA/N
ACSM5,NA/N,NA/N,NA/N,NA/N
CPS1,NA/N,NA/N,NA/N,NA/N
CLUH,NA/N,NA/N,NA/N,NA/N
FDXR,NA/N,NA/N,NA/N,NA/N
PCCA,NA/N,NA/N,NA/N,NA/N
POLG,NA/N,NA/N,NA/N,NA/N
PPOX,NA/N,NA/N,NA/N,NA/N
NARS2,NA/N,NA/N,NA/N,NA/N
PDPR,NA/N,NA/N,NA/N,NA/N
ACSF2,NA/N,NA/N,NA/N,NA/N
MCCC1,NA/N,NA/N,NA/N,NA/N
ACTA1,NA/N,NA/N,NA/N,NA/N
ACTC1,NA/N,NA/N,NA/N,NA/N
HNRNPU,NA/N,NA/N,NA/N,NA/N
CFL1,NA/N,NA/N,NA/N,NA/N
CFL2,NA/N,NA/N,NA/N,NA/N
PCYT1B,NA/N,NA/N,NA/N,NA/N
HNRNPD,NA/N,NA/N,NA/N,NA/N
MYL12A,NA/N,NA/N,NA/N,NA/N
PHB,NA/N,NA/N,NA/N,NA/N
HNRNPA1,NA/N,NA/N,NA/N,NA/N
VDAC2,NA/N,NA/N,NA/N,NA/N
VDAC3,NA/N,NA/N,NA/N,NA/N
RPA2,NA/N,NA/N,NA/N,NA/N
EP300,NA/N,NA/N,NA/N,NA/N
BAIAP2,NA/N,NA/N,NA/N,NA/N
CORO1C,NA/N,NA/N,NA/N,NA/N
ICAM1,NA/N,NA/N,NA/N,NA/N
FHOD1,NA/N,NA/N,NA/N,NA/N
CAP2,NA/N,NA/N,NA/N,NA/N
NUDCD2,NA/N,NA/N,NA/N,NA/N
WDR1,NA/N,NA/N,NA/N,NA/N
CAPZB,NA/N,NA/N,NA/N,NA/N
SCIN,NA/N,NA/N,NA/N,NA/N
CAP1,NA/N,NA/N,NA/N,NA/N
DCTN3,NA/N,NA/N,NA/N,NA/N
ACTA2,NA/N,NA/N,NA/N,NA/N
PDCL3,NA/N,NA/N,NA/N,NA/N
CCT7,NA/N,NA/N,NA/N,NA/N
CCT4,NA/N,NA/N,NA/N,NA/N
CCT2,NA/N,NA/N,NA/N,NA/N
CCT6B,NA/N,NA/N,NA/N,NA/N
CCT8,NA/N,NA/N,NA/N,NA/N
SRCAP,NA/N,NA/N,NA/N,NA/N
BCL7B,NA/N,NA/N,NA/N,NA/N
LRRC20,NA/N,NA/N,NA/N,NA/N
ACTR10,NA/N,NA/N,NA/N,NA/N
CCT6A,NA/N,NA/N,NA/N,NA/N
