Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
SPTBN2,NA/N,NA/N,NA/N,NA/N
PSMD1,NA/N,NA/N,NA/N,NA/N
DCTN2,NA/N,NA/N,NA/N,NA/N
DCTN5,NA/N,NA/N,NA/N,NA/N
ACTR1B,NA/N,NA/N,NA/N,NA/N
DCTN6,NA/N,NA/N,NA/N,NA/N
SCCPDH,NA/N,NA/N,NA/N,NA/N
ACTR2,NA/N,NA/N,NA/N,NA/N
ARPC5,NA/N,NA/N,NA/N,NA/N
ACTR3,NA/N,NA/N,NA/N,NA/N
ARPC3,NA/N,NA/N,NA/N,NA/N
KIF1BP,NA/N,NA/N,NA/N,NA/N
RPA1,NA/N,NA/N,NA/N,NA/N
HSPBP1,NA/N,NA/N,NA/N,NA/N
ARPC5L,NA/N,NA/N,NA/N,NA/N
CHURC1,NA/N,NA/N,NA/N,NA/N
CAPZA2,NA/N,NA/N,NA/N,NA/N
ARPC2,NA/N,NA/N,NA/N,NA/N
CTTN,NA/N,NA/N,NA/N,NA/N
ARPC1B,NA/N,NA/N,NA/N,NA/N
CST4,NA/N,NA/N,NA/N,NA/N
ACTR3B,NA/N,NA/N,NA/N,NA/N
ARPC1A,NA/N,NA/N,NA/N,NA/N
ARPC4,NA/N,NA/N,NA/N,NA/N
CDK4,NA/N,NA/N,NA/N,NA/N
TWF2,NA/N,NA/N,NA/N,NA/N
CCAR2,NA/N,NA/N,NA/N,NA/N
OSBPL3,NA/N,NA/N,NA/N,NA/N
LOC100290337,NA/N,NA/N,NA/N,NA/N
HIST4H4,NA/N,NA/N,NA/N,NA/N
HIST1H2AE,NA/N,NA/N,NA/N,NA/N
ACTR6,NA/N,NA/N,NA/N,NA/N
ACTR8,NA/N,NA/N,NA/N,NA/N
RUVBL1,NA/N,NA/N,NA/N,NA/N
INO80E,NA/N,NA/N,NA/N,NA/N
MCRS1,NA/N,NA/N,NA/N,NA/N
INO80D,NA/N,NA/N,NA/N,NA/N
UCHL5,NA/N,NA/N,NA/N,NA/N
AMY1A,NA/N,NA/N,NA/N,NA/N
DCAF10,NA/N,NA/N,NA/N,NA/N
ACVR1,NA/N,NA/N,NA/N,NA/N
SMAD1,NA/N,NA/N,NA/N,NA/N
ACVR2A,NA/N,NA/N,NA/N,NA/N
BMPR1A,NA/N,NA/N,NA/N,NA/N
TGFBRAP1,NA/N,NA/N,NA/N,NA/N
ACVRL1,NA/N,NA/N,NA/N,NA/N
GRAMD1A,NA/N,NA/N,NA/N,NA/N
RNF149,NA/N,NA/N,NA/N,NA/N
ARV1,NA/N,NA/N,NA/N,NA/N
ACVR1B,NA/N,NA/N,NA/N,NA/N
TDGF1,NA/N,NA/N,NA/N,NA/N
SNX1,NA/N,NA/N,NA/N,NA/N
INHBA,NA/N,NA/N,NA/N,NA/N
INHBB,NA/N,NA/N,NA/N,NA/N
FKBP1A,NA/N,NA/N,NA/N,NA/N
ACVR2B,NA/N,NA/N,NA/N,NA/N
MSTN,NA/N,NA/N,NA/N,NA/N
TGFB1,NA/N,NA/N,NA/N,NA/N
TGFBR1,NA/N,NA/N,NA/N,NA/N
TGFBR2,NA/N,NA/N,NA/N,NA/N
PDXDC2P-NPIPB14P,NA/N,NA/N,NA/N,NA/N
ACY1,NA/N,NA/N,NA/N,NA/N
NUDT1,NA/N,NA/N,NA/N,NA/N
TRIM33,NA/N,NA/N,NA/N,NA/N
ACYP2,NA/N,NA/N,NA/N,NA/N
ADA,NA/N,NA/N,NA/N,NA/N
ADAM10,NA/N,NA/N,NA/N,NA/N
DLG1,NA/N,NA/N,NA/N,NA/N
CD81,NA/N,NA/N,NA/N,NA/N
ADAM12,NA/N,NA/N,NA/N,NA/N
PACSIN3,NA/N,NA/N,NA/N,NA/N
FSTL3,NA/N,NA/N,NA/N,NA/N
IGFBP3,NA/N,NA/N,NA/N,NA/N
ADAM15,NA/N,NA/N,NA/N,NA/N
SH3GL2,NA/N,NA/N,NA/N,NA/N
SNX33,NA/N,NA/N,NA/N,NA/N
NPHP1,NA/N,NA/N,NA/N,NA/N
SH3PXD2A,NA/N,NA/N,NA/N,NA/N
FYN,NA/N,NA/N,NA/N,NA/N
ADAM17,NA/N,NA/N,NA/N,NA/N
TIMP3,NA/N,NA/N,NA/N,NA/N
MAD2L1,NA/N,NA/N,NA/N,NA/N
TGFA,NA/N,NA/N,NA/N,NA/N
PTPN3,NA/N,NA/N,NA/N,NA/N
MAPK1,NA/N,NA/N,NA/N,NA/N
SDK2,NA/N,NA/N,NA/N,NA/N
LRRC3,NA/N,NA/N,NA/N,NA/N
ADAM19,NA/N,NA/N,NA/N,NA/N
ADAM2,NA/N,NA/N,NA/N,NA/N
ADAMTS2,NA/N,NA/N,NA/N,NA/N
C6orf120,NA/N,NA/N,NA/N,NA/N
ASPHD2,NA/N,NA/N,NA/N,NA/N
ADAM21,NA/N,NA/N,NA/N,NA/N
HLA-B,NA/N,NA/N,NA/N,NA/N
ITGB5,NA/N,NA/N,NA/N,NA/N
PLXNA2,NA/N,NA/N,NA/N,NA/N
LCLAT1,NA/N,NA/N,NA/N,NA/N
DHFR2,NA/N,NA/N,NA/N,NA/N
MANF,NA/N,NA/N,NA/N,NA/N
VEGFB,NA/N,NA/N,NA/N,NA/N
CCPG1,NA/N,NA/N,NA/N,NA/N
CHSY3,NA/N,NA/N,NA/N,NA/N
CANX,NA/N,NA/N,NA/N,NA/N
LRFN3,NA/N,NA/N,NA/N,NA/N
LRP10,NA/N,NA/N,NA/N,NA/N
EGFL7,NA/N,NA/N,NA/N,NA/N
PCSK1N,NA/N,NA/N,NA/N,NA/N
ADAM22,NA/N,NA/N,NA/N,NA/N
LGI1,NA/N,NA/N,NA/N,NA/N
ADAM30,NA/N,NA/N,NA/N,NA/N
SEC11C,NA/N,NA/N,NA/N,NA/N
SPCS2,NA/N,NA/N,NA/N,NA/N
METTL7B,NA/N,NA/N,NA/N,NA/N
USP30,NA/N,NA/N,NA/N,NA/N
FOXF2,NA/N,NA/N,NA/N,NA/N
ADAM32,NA/N,NA/N,NA/N,NA/N
ITGA5,NA/N,NA/N,NA/N,NA/N
JAG2,NA/N,NA/N,NA/N,NA/N
BCL2L11,NA/N,NA/N,NA/N,NA/N
GAS6,NA/N,NA/N,NA/N,NA/N
MAN1A2,NA/N,NA/N,NA/N,NA/N
INTS4,NA/N,NA/N,NA/N,NA/N
ADAM9,NA/N,NA/N,NA/N,NA/N
POMGNT1,NA/N,NA/N,NA/N,NA/N
ADAMTS1,NA/N,NA/N,NA/N,NA/N
KIAA0391,NA/N,NA/N,NA/N,NA/N
ADAM33,NA/N,NA/N,NA/N,NA/N
LRP12,NA/N,NA/N,NA/N,NA/N
TMEM39B,NA/N,NA/N,NA/N,NA/N
TTC17,NA/N,NA/N,NA/N,NA/N
NETO2,NA/N,NA/N,NA/N,NA/N
HMOX1,NA/N,NA/N,NA/N,NA/N
CISD3,NA/N,NA/N,NA/N,NA/N
ASB7,NA/N,NA/N,NA/N,NA/N
LRP6,NA/N,NA/N,NA/N,NA/N
LRP5,NA/N,NA/N,NA/N,NA/N
KCNJ8,NA/N,NA/N,NA/N,NA/N
TMBIM6,NA/N,NA/N,NA/N,NA/N
SOAT1,NA/N,NA/N,NA/N,NA/N
DGCR2,NA/N,NA/N,NA/N,NA/N
SEMA4F,NA/N,NA/N,NA/N,NA/N
SLC27A3,NA/N,NA/N,NA/N,NA/N
ZDHHC6,NA/N,NA/N,NA/N,NA/N
TOR3A,NA/N,NA/N,NA/N,NA/N
LSR,NA/N,NA/N,NA/N,NA/N
FBXO2,NA/N,NA/N,NA/N,NA/N
GALNT12,NA/N,NA/N,NA/N,NA/N
TMEM67,NA/N,NA/N,NA/N,NA/N
MANEAL,NA/N,NA/N,NA/N,NA/N
VEGFA,NA/N,NA/N,NA/N,NA/N
ADAMTS12,NA/N,NA/N,NA/N,NA/N
PPM1A,NA/N,NA/N,NA/N,NA/N
USF1,NA/N,NA/N,NA/N,NA/N
USF2,NA/N,NA/N,NA/N,NA/N
UBR1,NA/N,NA/N,NA/N,NA/N
SNRK,NA/N,NA/N,NA/N,NA/N
FKBP9,NA/N,NA/N,NA/N,NA/N
ADAMTS13,NA/N,NA/N,NA/N,NA/N
VWF,NA/N,NA/N,NA/N,NA/N
ADAMTS18,NA/N,NA/N,NA/N,NA/N
HSPA5,NA/N,NA/N,NA/N,NA/N
ALB,NA/N,NA/N,NA/N,NA/N
B3GLCT,NA/N,NA/N,NA/N,NA/N
ADAMTS4,NA/N,NA/N,NA/N,NA/N
DICER1,NA/N,NA/N,NA/N,NA/N
TUBB3,NA/N,NA/N,NA/N,NA/N
RAD51B,NA/N,NA/N,NA/N,NA/N
LOXL2,NA/N,NA/N,NA/N,NA/N
MANBA,NA/N,NA/N,NA/N,NA/N
ITPA,NA/N,NA/N,NA/N,NA/N
MKS1,NA/N,NA/N,NA/N,NA/N
TRAF2,NA/N,NA/N,NA/N,NA/N
TUBA1A,NA/N,NA/N,NA/N,NA/N
FRAS1,NA/N,NA/N,NA/N,NA/N
KIAA0232,NA/N,NA/N,NA/N,NA/N
BIRC6,NA/N,NA/N,NA/N,NA/N
ATP2B2,NA/N,NA/N,NA/N,NA/N
BIRC2,NA/N,NA/N,NA/N,NA/N
XIAP,NA/N,NA/N,NA/N,NA/N
DPH6,NA/N,NA/N,NA/N,NA/N
ADAMTSL1,NA/N,NA/N,NA/N,NA/N
RSPRY1,NA/N,NA/N,NA/N,NA/N
FHL2,NA/N,NA/N,NA/N,NA/N
FBN2,NA/N,NA/N,NA/N,NA/N
WDCP,NA/N,NA/N,NA/N,NA/N
ADAMTSL4,NA/N,NA/N,NA/N,NA/N
HOXA1,NA/N,NA/N,NA/N,NA/N
ADAP1,NA/N,NA/N,NA/N,NA/N
PRKCZ,NA/N,NA/N,NA/N,NA/N
PRKCI,NA/N,NA/N,NA/N,NA/N
CSNK1A1,NA/N,NA/N,NA/N,NA/N
PRKD1,NA/N,NA/N,NA/N,NA/N
ANP32A,NA/N,NA/N,NA/N,NA/N
NCL,NA/N,NA/N,NA/N,NA/N
PIK3CA,NA/N,NA/N,NA/N,NA/N
ADAP2,NA/N,NA/N,NA/N,NA/N
KCTD10,NA/N,NA/N,NA/N,NA/N
ADAR,NA/N,NA/N,NA/N,NA/N
XPO1,NA/N,NA/N,NA/N,NA/N
UPF1,NA/N,NA/N,NA/N,NA/N
ADARB1,NA/N,NA/N,NA/N,NA/N
STRBP,NA/N,NA/N,NA/N,NA/N
PRKRA,NA/N,NA/N,NA/N,NA/N
NKRF,NA/N,NA/N,NA/N,NA/N
NVL,NA/N,NA/N,NA/N,NA/N
ADAT2,NA/N,NA/N,NA/N,NA/N
ADAT3,NA/N,NA/N,NA/N,NA/N
ADCK2,NA/N,NA/N,NA/N,NA/N
CLPB,NA/N,NA/N,NA/N,NA/N
ADCY5,NA/N,NA/N,NA/N,NA/N
RGS2,NA/N,NA/N,NA/N,NA/N
ADCY6,NA/N,NA/N,NA/N,NA/N
CHRNA7,NA/N,NA/N,NA/N,NA/N
ADCY8,NA/N,NA/N,NA/N,NA/N
CALM1,NA/N,NA/N,NA/N,NA/N
ADCYAP1,NA/N,NA/N,NA/N,NA/N
ADCYAP1R1,NA/N,NA/N,NA/N,NA/N
CLNS1A,NA/N,NA/N,NA/N,NA/N
CETN3,NA/N,NA/N,NA/N,NA/N
AMD1,NA/N,NA/N,NA/N,NA/N
SAV1,NA/N,NA/N,NA/N,NA/N
GCC2,NA/N,NA/N,NA/N,NA/N
TIMM10B,NA/N,NA/N,NA/N,NA/N
COPRS,NA/N,NA/N,NA/N,NA/N
PXDN,NA/N,NA/N,NA/N,NA/N
STK3,NA/N,NA/N,NA/N,NA/N
STK4,NA/N,NA/N,NA/N,NA/N
NUCB1,NA/N,NA/N,NA/N,NA/N
PPP4R3A,NA/N,NA/N,NA/N,NA/N
GGPS1,NA/N,NA/N,NA/N,NA/N
ADD1,NA/N,NA/N,NA/N,NA/N
ADD3,NA/N,NA/N,NA/N,NA/N
ADD2,NA/N,NA/N,NA/N,NA/N
ROCK1,NA/N,NA/N,NA/N,NA/N
ROCK2,NA/N,NA/N,NA/N,NA/N
NUDT12,NA/N,NA/N,NA/N,NA/N
ADGRA3,NA/N,NA/N,NA/N,NA/N
ADGRB1,NA/N,NA/N,NA/N,NA/N
ADGRE2,NA/N,NA/N,NA/N,NA/N
LOC100293069,NA/N,NA/N,NA/N,NA/N
ADGRE5,NA/N,NA/N,NA/N,NA/N
CD55,NA/N,NA/N,NA/N,NA/N
FDFT1,NA/N,NA/N,NA/N,NA/N
SLC29A1,NA/N,NA/N,NA/N,NA/N
NNT,NA/N,NA/N,NA/N,NA/N
TSPAN15,NA/N,NA/N,NA/N,NA/N
MTCH2,NA/N,NA/N,NA/N,NA/N
NDUFB8,NA/N,NA/N,NA/N,NA/N
ND5,NA/N,NA/N,NA/N,NA/N
B4GALT7,NA/N,NA/N,NA/N,NA/N
YIPF3,NA/N,NA/N,NA/N,NA/N
TMEM223,NA/N,NA/N,NA/N,NA/N
BET1,NA/N,NA/N,NA/N,NA/N
MFSD8,NA/N,NA/N,NA/N,NA/N
GPRC5B,NA/N,NA/N,NA/N,NA/N
SYNGR2,NA/N,NA/N,NA/N,NA/N
NAGPA,NA/N,NA/N,NA/N,NA/N
TPST1,NA/N,NA/N,NA/N,NA/N
ALG6,NA/N,NA/N,NA/N,NA/N
PIGG,NA/N,NA/N,NA/N,NA/N
GLT8D1,NA/N,NA/N,NA/N,NA/N
YIPF6,NA/N,NA/N,NA/N,NA/N
SERINC1,NA/N,NA/N,NA/N,NA/N
JPH1,NA/N,NA/N,NA/N,NA/N
ZDHHC18,NA/N,NA/N,NA/N,NA/N
LEMD2,NA/N,NA/N,NA/N,NA/N
TMEM120B,NA/N,NA/N,NA/N,NA/N
TMPPE,NA/N,NA/N,NA/N,NA/N
ZDHHC21,NA/N,NA/N,NA/N,NA/N
ADGRG5,NA/N,NA/N,NA/N,NA/N
SIGMAR1,NA/N,NA/N,NA/N,NA/N
SLC19A2,NA/N,NA/N,NA/N,NA/N
GJC1,NA/N,NA/N,NA/N,NA/N
ATP13A3,NA/N,NA/N,NA/N,NA/N
ALG9,NA/N,NA/N,NA/N,NA/N
FSTL1,NA/N,NA/N,NA/N,NA/N
ATL3,NA/N,NA/N,NA/N,NA/N
PLPPR3,NA/N,NA/N,NA/N,NA/N
TMED7,NA/N,NA/N,NA/N,NA/N
SIDT2,NA/N,NA/N,NA/N,NA/N
ANO6,NA/N,NA/N,NA/N,NA/N
BRAT1,NA/N,NA/N,NA/N,NA/N
ERGIC3,NA/N,NA/N,NA/N,NA/N
MOSPD2,NA/N,NA/N,NA/N,NA/N
PIGM,NA/N,NA/N,NA/N,NA/N
REEP6,NA/N,NA/N,NA/N,NA/N
FLVCR1,NA/N,NA/N,NA/N,NA/N
CHRNA5,NA/N,NA/N,NA/N,NA/N
EDEM2,NA/N,NA/N,NA/N,NA/N
EPHB3,NA/N,NA/N,NA/N,NA/N
TMX4,NA/N,NA/N,NA/N,NA/N
FZD2,NA/N,NA/N,NA/N,NA/N
GJA1,NA/N,NA/N,NA/N,NA/N
GPM6A,NA/N,NA/N,NA/N,NA/N
SGPP1,NA/N,NA/N,NA/N,NA/N
SLC12A9,NA/N,NA/N,NA/N,NA/N
HMGCR,NA/N,NA/N,NA/N,NA/N
IFNGR1,NA/N,NA/N,NA/N,NA/N
GRAMD1B,NA/N,NA/N,NA/N,NA/N
1-Mar,NA/N,NA/N,NA/N,NA/N
HLA-DRA,NA/N,NA/N,NA/N,NA/N
2-Mar,NA/N,NA/N,NA/N,NA/N
STX6,NA/N,NA/N,NA/N,NA/N
CFTR,NA/N,NA/N,NA/N,NA/N
5-Mar,NA/N,NA/N,NA/N,NA/N
MFN2,NA/N,NA/N,NA/N,NA/N
MIA3,NA/N,NA/N,NA/N,NA/N
6-Mar,NA/N,NA/N,NA/N,NA/N
DIO2,NA/N,NA/N,NA/N,NA/N
SQLE,NA/N,NA/N,NA/N,NA/N
7-Mar,NA/N,NA/N,NA/N,NA/N
UBE2N,NA/N,NA/N,NA/N,NA/N
VAV2,NA/N,NA/N,NA/N,NA/N
9-Mar,NA/N,NA/N,NA/N,NA/N
ATG9A,NA/N,NA/N,NA/N,NA/N
1-Sep,NA/N,NA/N,NA/N,NA/N
11-Sep,NA/N,NA/N,NA/N,NA/N
3-Sep,NA/N,NA/N,NA/N,NA/N
7-Sep,NA/N,NA/N,NA/N,NA/N
10-Sep,NA/N,NA/N,NA/N,NA/N
MYO18A,NA/N,NA/N,NA/N,NA/N
12-Sep,NA/N,NA/N,NA/N,NA/N
9-Sep,NA/N,NA/N,NA/N,NA/N
4-Sep,NA/N,NA/N,NA/N,NA/N
8-Sep,NA/N,NA/N,NA/N,NA/N
2-Sep,NA/N,NA/N,NA/N,NA/N
NRDC,NA/N,NA/N,NA/N,NA/N
6-Sep,NA/N,NA/N,NA/N,NA/N
HSD17B8,NA/N,NA/N,NA/N,NA/N
BTBD9,NA/N,NA/N,NA/N,NA/N
PCMTD2,NA/N,NA/N,NA/N,NA/N
CBR4,NA/N,NA/N,NA/N,NA/N
14-Sep,NA/N,NA/N,NA/N,NA/N
5-Sep,NA/N,NA/N,NA/N,NA/N
WDTC1,NA/N,NA/N,NA/N,NA/N
PRKN,NA/N,NA/N,NA/N,NA/N
RAP1GDS1,NA/N,NA/N,NA/N,NA/N
HIF1A,NA/N,NA/N,NA/N,NA/N
LMO7,NA/N,NA/N,NA/N,NA/N
HYPM,NA/N,NA/N,NA/N,NA/N
PDS5B,NA/N,NA/N,NA/N,NA/N
A1BG,NA/N,NA/N,NA/N,NA/N
KCMF1,NA/N,NA/N,NA/N,NA/N
WDR62,NA/N,NA/N,NA/N,NA/N
ZBTB40,NA/N,NA/N,NA/N,NA/N
PSME4,NA/N,NA/N,NA/N,NA/N
UBR4,NA/N,NA/N,NA/N,NA/N
UBAC1,NA/N,NA/N,NA/N,NA/N
RNF123,NA/N,NA/N,NA/N,NA/N
A1CF,NA/N,NA/N,NA/N,NA/N
APOBEC1,NA/N,NA/N,NA/N,NA/N
CELF2,NA/N,NA/N,NA/N,NA/N
TNPO2,NA/N,NA/N,NA/N,NA/N
SYNCRIP,NA/N,NA/N,NA/N,NA/N
PSMG2,NA/N,NA/N,NA/N,NA/N
A2M,NA/N,NA/N,NA/N,NA/N
PRADC1,NA/N,NA/N,NA/N,NA/N
METRNL,NA/N,NA/N,NA/N,NA/N
METRN,NA/N,NA/N,NA/N,NA/N
LOXL1,NA/N,NA/N,NA/N,NA/N
PDF,NA/N,NA/N,NA/N,NA/N
HAPLN3,NA/N,NA/N,NA/N,NA/N
PZP,NA/N,NA/N,NA/N,NA/N
CRTAC1,NA/N,NA/N,NA/N,NA/N
FKBP14,NA/N,NA/N,NA/N,NA/N
A4GALT,NA/N,NA/N,NA/N,NA/N
ABHD17B,NA/N,NA/N,NA/N,NA/N
JMJD8,NA/N,NA/N,NA/N,NA/N
IMPA2,NA/N,NA/N,NA/N,NA/N
TMUB1,NA/N,NA/N,NA/N,NA/N
TSPAN10,NA/N,NA/N,NA/N,NA/N
KLRG2,NA/N,NA/N,NA/N,NA/N
PTPN1,NA/N,NA/N,NA/N,NA/N
POMK,NA/N,NA/N,NA/N,NA/N
DNAJC18,NA/N,NA/N,NA/N,NA/N
TMEM68,NA/N,NA/N,NA/N,NA/N
SLC30A1,NA/N,NA/N,NA/N,NA/N
FZD3,NA/N,NA/N,NA/N,NA/N
ABCA3,NA/N,NA/N,NA/N,NA/N
FITM2,NA/N,NA/N,NA/N,NA/N
OSBPL8,NA/N,NA/N,NA/N,NA/N
ADGRL1,NA/N,NA/N,NA/N,NA/N
SHANK2,NA/N,NA/N,NA/N,NA/N
ADH1C,NA/N,NA/N,NA/N,NA/N
XYLT1,NA/N,NA/N,NA/N,NA/N
ADH1B,NA/N,NA/N,NA/N,NA/N
ADH5,NA/N,NA/N,NA/N,NA/N
ADH7,NA/N,NA/N,NA/N,NA/N
ADI1,NA/N,NA/N,NA/N,NA/N
ADIPOQ,NA/N,NA/N,NA/N,NA/N
ADIPOR1,NA/N,NA/N,NA/N,NA/N
WFS1,NA/N,NA/N,NA/N,NA/N
FAM45A,NA/N,NA/N,NA/N,NA/N
ADIPOR2,NA/N,NA/N,NA/N,NA/N
RNF181,NA/N,NA/N,NA/N,NA/N
ADNP2,NA/N,NA/N,NA/N,NA/N
CBX3,NA/N,NA/N,NA/N,NA/N
ADORA1,NA/N,NA/N,NA/N,NA/N
TSHR,NA/N,NA/N,NA/N,NA/N
GPR37,NA/N,NA/N,NA/N,NA/N
WLS,NA/N,NA/N,NA/N,NA/N
ADORA2B,NA/N,NA/N,NA/N,NA/N
ADORA3,NA/N,NA/N,NA/N,NA/N
IPO9,NA/N,NA/N,NA/N,NA/N
TMEM11,NA/N,NA/N,NA/N,NA/N
IPO11,NA/N,NA/N,NA/N,NA/N
TBC1D9B,NA/N,NA/N,NA/N,NA/N
CAND2,NA/N,NA/N,NA/N,NA/N
ATP12A,NA/N,NA/N,NA/N,NA/N
ADPGK,NA/N,NA/N,NA/N,NA/N
GALNT4,NA/N,NA/N,NA/N,NA/N
PDIA5,NA/N,NA/N,NA/N,NA/N
GALNT7,NA/N,NA/N,NA/N,NA/N
C1GALT1C1,NA/N,NA/N,NA/N,NA/N
EPHB4,NA/N,NA/N,NA/N,NA/N
TOR1B,NA/N,NA/N,NA/N,NA/N
MGAT1,NA/N,NA/N,NA/N,NA/N
MIPEP,NA/N,NA/N,NA/N,NA/N
TMEM214,NA/N,NA/N,NA/N,NA/N
UGT8,NA/N,NA/N,NA/N,NA/N
ADPRH,NA/N,NA/N,NA/N,NA/N
XRN1,NA/N,NA/N,NA/N,NA/N
ADRA1A,NA/N,NA/N,NA/N,NA/N
ADRA1B,NA/N,NA/N,NA/N,NA/N
ADRA1D,NA/N,NA/N,NA/N,NA/N
DTNA,NA/N,NA/N,NA/N,NA/N
SCRIB,NA/N,NA/N,NA/N,NA/N
CTNNAL1,NA/N,NA/N,NA/N,NA/N
DMD,NA/N,NA/N,NA/N,NA/N
ADRA2A,NA/N,NA/N,NA/N,NA/N
ADRA2C,NA/N,NA/N,NA/N,NA/N
EIF2B1,NA/N,NA/N,NA/N,NA/N
ADRB1,NA/N,NA/N,NA/N,NA/N
ARRB1,NA/N,NA/N,NA/N,NA/N
ADRB2,NA/N,NA/N,NA/N,NA/N
GRK2,NA/N,NA/N,NA/N,NA/N
USP33,NA/N,NA/N,NA/N,NA/N
ARRDC3,NA/N,NA/N,NA/N,NA/N
CAV3,NA/N,NA/N,NA/N,NA/N
GNB1,NA/N,NA/N,NA/N,NA/N
GNAS,NA/N,NA/N,NA/N,NA/N
RACK1,NA/N,NA/N,NA/N,NA/N
TMEM259,NA/N,NA/N,NA/N,NA/N
RAN,NA/N,NA/N,NA/N,NA/N
KCTD13,NA/N,NA/N,NA/N,NA/N
ARRDC1,NA/N,NA/N,NA/N,NA/N
SLC52A2,NA/N,NA/N,NA/N,NA/N
CCKBR,NA/N,NA/N,NA/N,NA/N
VAPA,NA/N,NA/N,NA/N,NA/N
MGLL,NA/N,NA/N,NA/N,NA/N
PRNP,NA/N,NA/N,NA/N,NA/N
ADRM1,NA/N,NA/N,NA/N,NA/N
UBQLN1,NA/N,NA/N,NA/N,NA/N
PSMA6,NA/N,NA/N,NA/N,NA/N
PSMD2,NA/N,NA/N,NA/N,NA/N
nan,NA/N,NA/N,NA/N,NA/N
PSMD10,NA/N,NA/N,NA/N,NA/N
PSMD12,NA/N,NA/N,NA/N,NA/N
PIPSL,NA/N,NA/N,NA/N,NA/N
BAG1,NA/N,NA/N,NA/N,NA/N
PSMD6,NA/N,NA/N,NA/N,NA/N
PSMB5,NA/N,NA/N,NA/N,NA/N
UBB,NA/N,NA/N,NA/N,NA/N
ADSL,NA/N,NA/N,NA/N,NA/N
OXSR1,NA/N,NA/N,NA/N,NA/N
ADSS,NA/N,NA/N,NA/N,NA/N
RNH1,NA/N,NA/N,NA/N,NA/N
TALDO1,NA/N,NA/N,NA/N,NA/N
ADSSL1,NA/N,NA/N,NA/N,NA/N
AEBP2,NA/N,NA/N,NA/N,NA/N
RBBP4,NA/N,NA/N,NA/N,NA/N
SUZ12,NA/N,NA/N,NA/N,NA/N
EED,NA/N,NA/N,NA/N,NA/N
ATXN3,NA/N,NA/N,NA/N,NA/N
RBBP7,NA/N,NA/N,NA/N,NA/N
EZH1,NA/N,NA/N,NA/N,NA/N
AES,NA/N,NA/N,NA/N,NA/N
GTF2E1,NA/N,NA/N,NA/N,NA/N
AR,NA/N,NA/N,NA/N,NA/N
HMGB1,NA/N,NA/N,NA/N,NA/N
TLE3,NA/N,NA/N,NA/N,NA/N
TLE1,NA/N,NA/N,NA/N,NA/N
HNRNPAB,NA/N,NA/N,NA/N,NA/N
HGS,NA/N,NA/N,NA/N,NA/N
PROP1,NA/N,NA/N,NA/N,NA/N
SOX5,NA/N,NA/N,NA/N,NA/N
PAX9,NA/N,NA/N,NA/N,NA/N
AFAP1,NA/N,NA/N,NA/N,NA/N
PRKCA,NA/N,NA/N,NA/N,NA/N
PRKCB,NA/N,NA/N,NA/N,NA/N
PRKCG,NA/N,NA/N,NA/N,NA/N
AFAP1L2,NA/N,NA/N,NA/N,NA/N
AFDN,NA/N,NA/N,NA/N,NA/N
CTNNA1,NA/N,NA/N,NA/N,NA/N
SIPA1L1,NA/N,NA/N,NA/N,NA/N
FRMD4B,NA/N,NA/N,NA/N,NA/N
AFF1,NA/N,NA/N,NA/N,NA/N
SIAH1,NA/N,NA/N,NA/N,NA/N
SIAH2,NA/N,NA/N,NA/N,NA/N
MLLT3,NA/N,NA/N,NA/N,NA/N
CDK9,NA/N,NA/N,NA/N,NA/N
CCNT1,NA/N,NA/N,NA/N,NA/N
AFF4,NA/N,NA/N,NA/N,NA/N
EAF2,NA/N,NA/N,NA/N,NA/N
CCNT2,NA/N,NA/N,NA/N,NA/N
ELL,NA/N,NA/N,NA/N,NA/N
HEXIM1,NA/N,NA/N,NA/N,NA/N
ELL3,NA/N,NA/N,NA/N,NA/N
PBX2,NA/N,NA/N,NA/N,NA/N
AFG3L2,NA/N,NA/N,NA/N,NA/N
PHB2,NA/N,NA/N,NA/N,NA/N
AFM,NA/N,NA/N,NA/N,NA/N
GBP1,NA/N,NA/N,NA/N,NA/N
AFTPH,NA/N,NA/N,NA/N,NA/N
AGA,NA/N,NA/N,NA/N,NA/N
MOB4,NA/N,NA/N,NA/N,NA/N
HBA1,NA/N,NA/N,NA/N,NA/N
HBB,NA/N,NA/N,NA/N,NA/N
ZER1,NA/N,NA/N,NA/N,NA/N
AGAP2,NA/N,NA/N,NA/N,NA/N
EPB41L1,NA/N,NA/N,NA/N,NA/N
AGER,NA/N,NA/N,NA/N,NA/N
S100A1,NA/N,NA/N,NA/N,NA/N
S100B,NA/N,NA/N,NA/N,NA/N
AGFG1,NA/N,NA/N,NA/N,NA/N
OGT,NA/N,NA/N,NA/N,NA/N
AGFG2,NA/N,NA/N,NA/N,NA/N
TRIM68,NA/N,NA/N,NA/N,NA/N
STARD7,NA/N,NA/N,NA/N,NA/N
AGGF1,NA/N,NA/N,NA/N,NA/N
TNFSF12,NA/N,NA/N,NA/N,NA/N
BLOC1S6,NA/N,NA/N,NA/N,NA/N
AGK,NA/N,NA/N,NA/N,NA/N
RAB18,NA/N,NA/N,NA/N,NA/N
TIMM10,NA/N,NA/N,NA/N,NA/N
TIMM29,NA/N,NA/N,NA/N,NA/N
AGO1,NA/N,NA/N,NA/N,NA/N
AGO2,NA/N,NA/N,NA/N,NA/N
